time_stamp [milli-sec],actor_1_x,actor_1_y
59671,-2.6231286531858906,-0.31380803207237934
59773,-2.3390608875088303,-0.26190926752936566
59875,-2.0425360799986945,-0.2519586118229051
59977,-1.7346155563478447,-0.2736882911593654
60079,-1.4170351170659443,-0.2995303357911012
60180,-1.0932029185779675,-0.28293182375996606
60284,-0.7655358217614723,-0.23498421138809183
60388,-0.3189887102473544,-0.25956585142190935
60489,0.0185443445335491,-0.28153511675147064
60590,0.35080247448894747,-0.2338773442188588
60692,0.5721922570252732,-0.21818204028084542
60793,0.9041320879385,-0.22803856922244434
60897,1.341074534958533,-0.2648694610927018
60999,1.656196263768033,-0.24763811777522618
61100,1.8580020761800136,-0.20382087294560372
61201,2.256492751960171,-0.20916079871024518
61302,2.44906452216811,-0.2276459436584972
61406,2.7251859834197805,-0.24714150488525877
61507,2.98259628234968,-0.23543763704414483
61610,3.219858819635543,-0.1869440805617049
61714,3.5113588126955397,-0.18358942488083232
61818,3.7058627908726236,-0.1997682855856813
61919,3.876335533200699,-0.2169809528960598
62021,4.0614686177669945,-0.22906171736168318
62126,4.364592608802423,-0.17960408365296568
62229,4.540861863416519,-0.062414595152327466
62333,4.6032361147346785,0.03802418178189215
62435,4.577559636852671,0.13248917532278343
62536,4.489161505643084,0.20754819077878237
62637,4.356713261057002,0.2425274083459955
62738,4.208742714151523,0.22560827180330814
62840,4.071684635714921,0.13999647410151403
62944,4.005582305418206,0.03640669077131205
63048,3.9762440187176087,-0.23639165060440365
63149,4.0109408604429735,-0.35422082050231923
63250,4.019416326917581,-0.4432730285232896
63352,4.025207951126837,-0.6441788666892899
63453,4.02113847889428,-0.8128500198212223
63554,4.001799832020005,-0.9946171976975847
63656,3.9789445792755305,-1.1890037333895296
63757,3.9695488988995407,-1.325621040779681
63858,3.9769763408782595,-1.6148129444819108
63960,4.015972977918455,-1.767872872933485
64064,4.025398670635204,-2.000271716415044
64166,4.016906396956368,-2.238102994243496
64281,3.978890249677221,-2.5623242406748834
64386,3.968774272198065,-2.810690589228425
64487,4.006512133191527,-3.061556407814308
64588,4.025792172838571,-3.3120265074840316
64689,4.020837276326863,-3.5615613374761526
64790,3.9953535254872703,-3.8095966675795303
64893,3.9698583013731876,-4.0545564963680985
64994,3.9720024558517486,-4.293475989962025
65097,4.0171981440885105,-4.523175246325583
65204,4.025257957133459,-4.746920164925068
65307,4.018114338128065,-4.962493894747812
65411,3.9967168092431717,-5.168558573397603
65519,3.9802613027430236,-5.299488949724904
65622,3.9689485963212583,-5.483856584938322
65723,3.971556602739428,-5.6527840420301185
65830,4.006329057315747,-5.8044013716275185
65931,4.020207029783546,-5.9405649402443625
66039,4.025682661611024,-6.094085922409048
66140,4.025841780790829,-6.392058195271472
66242,4.03666457426443,-6.503513854148489
66348,4.062764509575346,-6.534958182568898
66449,4.087983956412666,-6.50250132074205
66552,4.107470291510247,-6.423738578979155
66657,4.118731827786372,-6.319867467593667
66758,4.117670621254775,-6.216080532555051
66859,4.094695526945219,-6.130027168078449
66960,4.042156637128133,-6.079977524458772
67071,3.9514827553736827,-6.079519445168711
67172,3.8091038475024037,-6.118925695472883
67273,3.628637842663034,-6.1301309754894655
67374,3.4217057548038516,-6.130150687982806
67475,3.1988560284856193,-6.1108120315236265
67579,2.969307345055808,-6.087701835402793
67682,2.7456722449005553,-6.083796187479778
67783,2.541612816678046,-6.096595409554707
67885,2.369272756405951,-6.132411583657254
67986,2.234222957670483,-6.128684925657309
68087,2.1452256805477123,-6.128821668846169
68188,2.0901333542891987,-6.166235608658295
68291,2.0634155312087823,-6.226439998233765
68392,2.0617311619031016,-6.291209479576213
68494,2.0794531794042324,-6.3475652023233256
68595,2.0975823010674053,-6.374129036648909
68696,2.129064430454685,-6.38409550300003
68801,2.1520947706185347,-6.362136848648541
68902,2.192009855868882,-6.272825831349884
69004,2.224943862737568,-6.104651084525874
69105,2.2261328981348627,-5.867413089379028
69208,2.218526684231052,-5.776696445228245
69309,2.1874050447730924,-5.69980314405227
69414,2.1802052102038543,-5.617286261881126
69515,2.1754383191214153,-5.528911909385983
69616,2.1746896266718236,-5.435203460148438
69717,2.1759252686769863,-5.336404856146334
69818,2.180284649308998,-5.232991993414344
69919,2.19083691914635,-5.1257088587601425
70033,2.200113862037933,-5.052117491110827
70134,2.2134384544428007,-4.938379342524642
70238,2.2283797597115513,-4.780594699642976
70339,2.230438065720305,-4.656852869973829
70443,2.227940572025698,-4.529107289807691
70546,2.2171907666809507,-4.396924227162137
70647,2.181151043436384,-4.257470865285919
70751,2.1745978437219042,-4.1204884256821455
70852,2.1756647282573938,-3.982722758214613
70953,2.182037576102674,-3.844130366901171
71059,2.197628478182511,-3.7058022424166164
71160,2.2133645576651078,-3.5663182384865375
71261,2.227836557173147,-3.425654974502904
71362,2.230377653631207,-3.2819405314336736
71464,2.2263961981443656,-3.1364817310949213
71565,2.191926831463872,-2.9847733220945067
71666,2.1779422019081416,-2.837305991106445
71768,2.1749680468287345,-2.6924842768273725
71874,2.177566330295923,-2.549493029845454
71978,2.1881753922146303,-2.409050935838166
72082,2.2031887307495364,-2.270673994079965
72183,2.2207365450223677,-2.1342259892455124
72284,2.2307996216606867,-1.9525709025100757
72387,2.2305403561607027,-1.8621955458787531
72488,2.224315833481666,-1.727673518104056
72589,2.188953469280976,-1.5911603068084734
72690,2.177575038298734,-1.461886396687127
72798,2.174676637296812,-1.3373373990199848
72899,2.177377638889721,-1.1778657687383751
73000,2.184970889271242,-1.063511333073117
73101,2.1935329390152143,-0.9899540896405805
73203,2.204755626224633,-0.8829337518911149
73305,2.21819766277535,-0.7805937116621927
73406,2.2280155833743827,-0.6826098033881773
73510,2.2311015615689564,-0.5591165636722604
73613,2.230939186302962,-0.5009413820805396
73716,2.2285123062905283,-0.41846183574521506
73817,2.2238805915469926,-0.34209003719103315
73921,2.2168305846333505,-0.2722105894542291
74023,2.1818706129035674,-0.1507941108575518
74132,2.19901540374973,0.06170582009515257
74235,2.251026173816034,0.17686732934020002
74336,2.318419303549065,0.21409711075495866
74439,2.3886088776182874,0.19309153653880082
74544,2.449010184729448,0.1341280236928042
74645,2.4834061310131244,0.05320500827091841
74746,2.480048424057604,-0.030472413078709945
74847,2.424805929602975,-0.10622193275585566
74948,2.3084226848285976,-0.15817209384529013
75052,2.161532909507105,-0.17303985195619487
75153,2.040623671778785,-0.20476593435657714
75256,1.8946721771815123,-0.21772957721446234
75358,1.7257282455135063,-0.21921300068143698
75461,1.5365219138149109,-0.21113795404276892
75563,1.3295620822857335,-0.1853049687271619
75665,1.1839786509983816,-0.16565060623888872
75766,0.9575603898830737,-0.14821896141433247
75869,0.6454897868194036,-0.18212365498335337
75970,0.40464011729859517,-0.19588540909599209
76071,0.16207326614307294,-0.18787270704863296
76180,-0.07792751980498434,-0.16073760527605466
76281,-0.3122704992058642,-0.13425664510335908
76382,-0.5397467299726306,-0.13403986351975994
76483,-0.7596152255772968,-0.17685757584418543
76586,-0.9639467874590644,-0.19257774335089703
76690,-1.1501241712528019,-0.19464654139890322
76793,-1.3156355655450929,-0.18848695531241677
76894,-1.4584231535660799,-0.1813349946181676
76996,-1.5761684747334033,-0.1767195266974519
77097,-1.7282352202549267,-0.193113616724801
77198,-1.8363260541085118,-0.23605229143531753
77299,-1.8867865496973726,-0.29182999967102097
77400,-1.8904182655292021,-0.3565540650189109
77501,-1.857281133431993,-0.4271197496105964
77602,-1.7795327712858353,-0.5118089717407971
77707,-1.7075856807480432,-0.573654938780403
77808,-1.6412027808817105,-0.6262416901273736
77909,-1.5934963013128673,-0.6684996426545118
78010,-1.5747673352106868,-0.6991286611391727
78111,-1.574445174645878,-0.6945702740037765
78212,-1.5753704607299939,-0.6415762848496912
78313,-1.5777287212330369,-0.5591878655988968
78414,-1.584282124783757,-0.46662561452261025
78515,-1.5946044702303521,-0.3825340046361657
78617,-1.6010804929916786,-0.32493592779790126
78718,-1.6022555355573638,-0.31300840182759593
78819,-1.6085900427296607,-0.3664669989053166
78920,-1.6187809700163422,-0.44775795154079445
79021,-1.6312749251213319,-0.7110565414312043
79122,-1.6296181294467555,-0.788072970492728
79225,-1.624304907089155,-0.875178582786918
79326,-1.5926527903283687,-0.9720198506813276
79427,-1.58091635478896,-1.0778424843958527
79528,-1.5761908754025202,-1.1531343505203115
79629,-1.5745564864735355,-1.272730740183961
79730,-1.5763727233378568,-1.3998232031277813
79831,-1.5856123032404614,-1.533700525035066
79935,-1.6014417534954348,-1.673709948906828
80038,-1.618782651096065,-1.819371706074117
80139,-1.6304677005182069,-1.970424011623858
80241,-1.631340819850981,-2.074089146631384
80342,-1.620090541045311,-2.2879181413967724
80446,-1.5808234932881187,-2.4548460212094527
80550,-1.5744327091472619,-2.679633197187578
80652,-1.5802272885671822,-2.8503480112212687
80755,-1.5990256708593165,-3.021740163093516
80857,-1.619195792280935,-3.1941179588580684
80963,-1.631037185845613,-3.3678879778806863
81064,-1.628471982623822,-3.5432866301183523
81167,-1.5923070980629057,-3.722054540839686
81270,-1.5764713517824194,-3.8979964632942328
81371,-1.5746885133709636,-4.01360361415695
81474,-1.582114894553724,-4.241013099795038
81579,-1.594011864804776,-4.352144334660372
81680,-1.6055079323001293,-4.462031900487078
81784,-1.6253295678040092,-4.623813703839892
81886,-1.6307953586129211,-4.836114646704519
81998,-1.624008279674071,-4.991479112209019
82099,-1.5855299242137793,-5.145325366388609
82201,-1.57531270619391,-5.290215897988349
82303,-1.5746128221697926,-5.42786494608935
82407,-1.5780275344118646,-5.558402719082727
82508,-1.5886524057748046,-5.681136701727643
82612,-1.6018187068707141,-5.796108446314253
82716,-1.6149713279718043,-5.90307099581795
82817,-1.6256616611731116,-6.001654613910793
82919,-1.6310930805809376,-6.119145697065241
83042,-1.6314053889587503,-6.195744559741643
83145,-1.6179935525423772,-6.469432325357524
83247,-1.6385499491325226,-6.5459389095318
83349,-1.6917453829056066,-6.5950263184668625
83452,-1.7525920305429472,-6.5809758800769576
83553,-1.809039961737249,-6.523052054571411
83654,-1.8471872608334066,-6.438556398247137
83756,-1.855650015409093,-6.347218736523333
83857,-1.8218723574674813,-6.269508649745075
83959,-1.7319006763456528,-6.221121782853234
84061,-1.5870941514685988,-6.219356005091663
84164,-1.4348268313970212,-6.230532372882058
84268,-1.2927621337774515,-6.231010053310924
84369,-1.1867359786229013,-6.2257718014488885
84470,-0.9529501878636712,-6.18064880416918
84571,-0.7573236538656813,-6.174792902534123
84673,-0.5483342754229446,-6.1817287772242135
84776,-0.32924931824535536,-6.204501530998359
84879,-0.10420888610676736,-6.228640310933561
84982,0.1236201270588653,-6.229441141685454
85084,0.3530837240156535,-6.186325609442601
85185,0.581204204861584,-6.174295177540339
85291,0.8040184573507112,-6.1796049351794995
85393,1.0178131011346214,-6.2021948511201135
85495,1.220519478083583,-6.225773897129855
85596,1.4111378749724854,-6.231271870397902
85698,1.586726601298266,-6.223698318215423
85802,1.745296689531999,-6.1842257732616455
85903,1.879156538689897,-6.175202534919898
86005,1.9873531714652122,-6.174720376372021
86115,2.0858849617233526,-6.184544672891233
86216,2.2215626141207916,-6.278032884390353
86318,2.2631269820573676,-6.386311372687901
86421,2.2665502543704803,-6.501035662955772
86524,2.2531324613590473,-6.570522765662925
86626,2.1976878795687163,-6.661820763163838
86730,2.16103423061835,-6.67313914564476
86833,2.1040601732310122,-6.6331556504667315
86936,2.05468932657366,-6.509076652376159
87046,1.977795364921764,-6.193709090267434
87149,1.9744450611821587,-6.077180538451137
87252,1.975852175545716,-5.940521137228858
87361,1.9849443787477887,-5.784796974331535
87463,2.01218745521979,-5.549517091331401
87566,2.0301431742476392,-5.3551690116852
87682,2.0293209948972093,-5.148549153142412
87784,1.987706778365696,-4.932683073173537
87887,1.9744107134216542,-4.703979019361986
87991,1.9882647651376575,-4.38286550191202
88092,2.0063675428306933,-4.216801139916293
88194,2.0305728847617814,-3.9631656253757415
88295,2.025317518432478,-3.706012666584668
88398,1.9776176192898256,-3.4458890428314715
88505,1.9799561720854835,-3.0947231939366326
88606,1.9990458475947859,-2.9192316645432284
88707,2.027903662579532,-2.6576044587822403
88809,2.0235334356036287,-2.3120793411277782
88912,1.9825743006953789,-2.139974100165711
89018,1.974408507554433,-1.8886660238433333
89120,1.9971835299845715,-1.566782934036272
89223,2.0231351207095933,-1.3364237366927232
89324,2.0310294180903647,-1.1878080393885224
89428,2.025604783995234,-0.972947704860243
89530,1.9778956245137265,-0.7032545723556216
89631,1.9744336278362846,-0.5206375614887461
89732,1.9794951488121268,-0.3547979148694934
89834,1.995560706520939,-0.20694821466553337
89943,2.0098252209461225,-0.07752680611033848
90046,2.0292781275304845,0.09362750888912845
90147,2.0454047420244925,0.3157860587801051
90248,2.0652806588338737,0.43395279553269717
90349,2.0825150382594733,0.4644956293807567
90455,2.102189038397069,0.4227956235693204
90557,2.1167597640002485,0.3705456024089586
90658,2.133146188295549,0.2686621882310103
90759,2.136692445873233,0.15932964222491977
90863,2.127327190787315,0.09233822140817827
90964,2.089185570328762,0.01426643742668985
91067,2.0155303454015967,-0.019371636846537806
91170,1.9522789853570153,-0.01390281443606326
91271,1.881648750145354,-0.005962389718954465
91375,1.7977240110554544,0.002609818472158299
91476,1.7017550376567478,0.014537140182224201
91589,1.5588857431603464,0.028164478004528537
91691,1.4828886127641983,0.030653561572660387
91802,1.3645765839470585,0.030432832995233448
91904,1.2428983562017035,0.02441126613609118
92016,1.0832247112309628,-0.01520123106407005
92118,0.9577097256796797,-0.023944962634474952
92219,0.8732008061318608,-0.02513503424069335
92320,0.7471795164129876,-0.023665600216945495
92424,0.6233996615073549,-0.01748892595773628
92527,0.5033779665535605,-0.004908188550977796
92629,0.3904172878741482,0.006335288336464755
92731,0.28569700456322367,0.019643210875793148
92832,0.16328895025840312,0.029685406096411758
92937,0.08604966793509645,0.031235192834396092
93041,0.022426692296642767,0.03104692308692676
93143,-0.050345911471886634,0.026338006446099814
93246,-0.10867527199232138,0.00683335743645427
93349,-0.13551884298347913,-0.02198006277111964
93452,-0.13420995069261293,-0.06570897763684003
93555,-0.13000477725679657,-0.11131135153595785
93659,-0.10487290105829675,-0.12897095716964158
93760,-0.07614887474490976,-0.130797718589755
93864,-0.04870676183710029,-0.11139571686075507
93967,-0.026449704425006958,-0.04490835262330236
94071,-0.025464147832213957,0.04307080375581596
94180,-0.024416482895401888,0.1749837225023554
94281,-0.015059654577074106,0.3428998740467535
94383,0.006445501882979169,0.5366065365679847
94486,0.02872702342360644,0.7474982710147763
94587,0.03019649038025411,0.9649613928940052
94690,-0.009475795448164535,1.1745670466929143
94791,-0.02441091211243688,1.3673464856575757
94895,-0.024705627721656888,1.5341039609935971
95004,-0.019547871404884502,1.6636707898279064
95106,-0.03460274660448555,1.7686553813018064
95209,-0.09476208912650586,1.808493620615666
95311,-0.17929802593726407,1.81995133913954
95417,-0.24070521380189364,1.8140798080023217
95522,-0.35836481665077413,1.7832216807310939
95623,-0.41779271329873824,1.7531038873876434
95725,-0.42697627330651566,1.7220875107165026
95828,-0.36525422593420237,1.6944151557874985
95934,-0.21385668300070246,1.6850403987489595
96036,0.016424312452187294,1.72323483743462
96138,0.13230631410320107,1.7254611620877125
96239,0.26710029736061364,1.7237932400935625
96341,0.41896957060766493,1.7129946420628295
96442,0.586555350042926,1.6951525030924586
96543,0.7688326830680036,1.6736544162588725
96647,0.9657469172534585,1.6689976677338
96748,1.1756447621421755,1.6808922989016086
96850,1.3969390684195573,1.7236152234335735
96951,1.6256378956466666,1.7240811583286861
97052,1.8621846363025427,1.7046114200495384
97155,2.106053604528666,1.6770715426121725
97263,2.3552220309940806,1.669047693212127
97364,2.6053048740435942,1.7090346760448496
97465,2.857883286729304,1.7256558761396106
97567,3.113134092302273,1.71769234467287
97672,3.370559784867194,1.6896229597663477
97781,3.6258650182711962,1.6692031352212993
97884,3.9512193517643324,1.7062297663252843
97987,4.110487480455215,1.722069681724026
98088,4.347527068653351,1.724110862044499
98190,4.5801663082479465,1.708362849879345
98296,4.805642565114397,1.6825149801763564
98397,5.018145329688401,1.6691590733116282
98499,5.2152032400324595,1.6743745998908794
98600,5.393557831158933,1.7150098995615657
98703,5.5627364542899755,1.7251020631374752
98804,5.717464367284091,1.7245065275243237
98908,5.855049112128585,1.7181531775730694
99017,5.973272073369563,1.7055124457412114
99118,6.217969967526954,1.677406856470148
99221,6.558699547844325,1.6766513838440495
99323,6.794034076713306,1.710730283413446
99426,6.954470032060957,1.7079329579977136
99530,7.033082467212594,1.6981426934304302
99631,7.021709895717744,1.6884939794247384
99737,6.907661124524319,1.682529415933147
99839,6.675638740898052,1.6963291817729718
99942,6.328266622684828,1.7300820650357802
100043,5.9717039197122235,1.716855436708994
100147,5.859329706072507,1.6820361265123873
100251,5.735126209452067,1.675606377326416
100353,5.599908174638896,1.675301069350334
100469,5.454404209662381,1.6793747178874887
100570,5.300329942371806,1.696171019012258
100677,5.137177130970931,1.714807914976657
100780,4.90455840586708,1.7310014366399165
100881,4.781143736672678,1.729938241397883
100984,4.583768242735384,1.6933795078014324
101087,4.313037993421596,1.674865544631653
101188,4.1043695405574985,1.6783008686920655
101289,3.891847121596082,1.6998799156078945
101392,3.7470470662361084,1.7169439625483978
101496,3.523235593733387,1.730970283675725
101597,3.3693490661533003,1.7281790558223051
101698,3.1295840007893587,1.6836461488907966
101801,2.8903880617359015,1.6748973598096113
101903,2.729839467886094,1.6783328319680317
102004,2.487777744689262,1.7025432822118243
102106,2.242215796215815,1.7287374199173533
102210,1.9917241941188932,1.728249881570242
102314,1.7370531925035244,1.6816209966269104
102416,1.4836268558113799,1.6752483541572334
102518,1.2297721745812398,1.6896662754521299
102621,0.889857322131875,1.7281357743495207
102724,0.6346342988890002,1.7289197991928906
102827,0.38184895471420877,1.6829971154378833
102932,0.12976952941631711,1.6744012925963603
103038,-0.12180108803448829,1.6879188149805218
103139,-0.2892062251840885,1.7059331573208592
103241,-0.5384861023066789,1.7303283805296303
103349,-0.782359640887685,1.7264317945393164
103452,-1.0177355738338199,1.6809520135114762
103554,-1.2529762797967645,1.6752187980852706
103655,-1.4858976433789146,1.6873797496384009
103758,-1.7158220767482535,1.7132839077026825
103879,-1.9391729709554646,1.7308251894317563
103980,-2.2224288697204795,1.7209119249231333
104083,-2.4216046284583195,1.6785074886689073
104184,-2.6193096550841304,1.6749304793249966
104285,-2.8108755947974142,1.682692470039049
104388,-2.995621903896815,1.7020620758952225
104491,-3.2274748001472076,1.7276681085364785
104594,-3.335683977614036,1.731084600820436
104698,-3.4887363407447767,1.728518970333796
104799,-3.674038235399831,1.69061481189422
104902,-3.8023683482308757,1.6778924451816408
105003,-3.9200288796052916,1.6744949959263358
105106,-4.1256482668722025,1.677979499096698
105209,-4.509753575483186,1.7195114177857935
105312,-4.746251401745757,1.7263874057113355
105417,-4.866127362061402,1.7164051128463025
105519,-4.870880497765778,1.703063232117454
105622,-4.812368999701002,1.7016866387217817
105728,-4.674710061655397,1.7131828115323535
105831,-4.550697637471909,1.719917800438334
105943,-4.336794944859812,1.7207849866684295
106045,-4.1146787974348955,1.700679495502569
106151,-3.951497924677307,1.6817095410931995
106254,-3.823587865627787,1.6705737405897823
106373,-3.6109148376897764,1.670691701590432
106485,-3.349578458321964,1.715890125569325
106586,-3.13570486040446,1.725150004719751
106688,-2.986310078484159,1.7229768676249861
106789,-2.755062382213094,1.701903979036645
106896,-2.5145044319592884,1.6747058709209222
106997,-2.1778925165839658,1.6741873898633532
107099,-1.918186862204843,1.7205918603293364
107203,-1.6647843266629891,1.7245926561646634
107305,-1.4164032778813576,1.706239111864741
107411,-1.1742802998829371,1.6778632950248267
107512,-1.0179064070543995,1.6689202542630905
107613,-0.7945703093772739,1.6743771755409698
107715,-0.5894076765716678,1.7179195002896461
107816,-0.40188371822446606,1.7256588083180153
107920,-0.18578314895266693,1.7207372866260118
108022,-0.09462051145781114,1.7120547967326274
108123,0.03468301656753159,1.698077126456088
108225,0.18322700410567147,1.6899161665238536
108326,0.2610628346677616,1.705166888456775
108428,0.282950197160365,1.7329260918980924
108531,0.24806519956835638,1.7734529189353576
108632,0.1910771817240112,1.7983535948845848
108739,0.12299969034616022,1.8122127729243076
108840,0.05753850064560869,1.8087479087698919
108943,0.007527584206438412,1.7812897382957182
109045,0.007855192100837093,1.72415441343091
109147,0.01759061009294724,1.6254390485718004
109248,0.02547186478344437,1.4262680083731254
109355,0.024065120909682276,1.3052182925547544
109462,0.010061106387879768,1.1057176867038057
109568,-0.015504258259126805,0.8925955690406625
109680,-0.031377685800193386,0.6047759205298577
109784,-0.021098411457145746,0.4028810582248743
109886,0.019288579235552283,0.22715400313976042
109990,0.025444829301397756,0.08224106469639943
110091,0.02512030561534381,-0.01985392517408028
110195,0.03538386995095518,-0.08356426295038308
110296,0.06376242339480455,-0.12350966061147085
110398,0.08083975024133014,-0.12790508863169445
110501,0.10468495509870153,-0.11898199477888259
110602,0.12348456393422311,-0.09729133352542524
110703,0.13093146275698653,-0.0573097060251061
110806,0.1177682889866479,-0.02827753084159096
110910,0.0967470548865528,-0.011279626821103473
111013,0.019365301413968174,0.004897276448756791
111119,-0.03663076950090163,0.006323153578908877
111228,-0.09480282658730621,0.006442039077135647
111333,-0.1634023450055663,0.005867005073215623
111438,-0.21453836721213362,0.002853049545345109
111548,-0.26954579457462635,-0.001369892852890492
111650,-0.35883268823666525,-0.011760600105092077
111751,-0.45511877775979037,-0.025954775852284576
111863,-0.5574513888853859,-0.04529361850929883
111966,-0.7050242302513444,-0.09908918881598155
112070,-0.7778670421814492,-0.11287465513600486
112175,-0.922853562660154,-0.1330000521863851
112277,-1.0299467014474828,-0.144357578957394
112380,-1.1341470794537,-0.15212288609995003
112484,-1.2339332810907224,-0.15426465818854757
112588,-1.3288651276362669,-0.1544668027932301
112689,-1.389038691753221,-0.1545237458230847
112791,-1.4736274155340787,-0.1537849547545745
112904,-1.55063445986836,-0.15543692169362078
113006,-1.6185530639687487,-0.1601231099867728
113129,-1.6756343439833234,-0.16593909281218983
113230,-1.7398011651141008,-0.17015911187042912
113333,-1.8110822412855654,-0.1444734069263333
113436,-1.8340792980550344,-0.10732985919322025
113540,-1.8360127332510878,-0.06498621613713755
113644,-1.8209323182851576,-0.027147885352500355
113746,-1.7662710828476103,-0.007811801865422388
113854,-1.7329014370020874,-0.008414406630295374
113955,-1.7024704935733614,-0.04290267106580403
114058,-1.6802895667716775,-0.12121202996882015
114159,-1.6742991985792788,-0.2261673615208259
114262,-1.6758427832378768,-0.3481704368357886
114363,-1.6811253519896923,-0.461658021280652
114466,-1.6953111267048215,-0.5924713338761015
114569,-1.7115484383771582,-0.7379523384521848
114671,-1.7276333380977327,-0.8954591164951377
114772,-1.7309077151990762,-1.0602900252918108
114875,-1.7238845767820536,-1.23006843432902
114978,-1.6788339140530437,-1.4559813070610608
115080,-1.675247988239942,-1.6335573049350467
115182,-1.679706338188611,-1.8123449588113165
115285,-1.6982715150308614,-1.9911328000427986
115388,-1.71749762237136,-2.1647599250287333
115490,-1.7301531152861434,-2.3295621503310042
115591,-1.730241822610162,-2.4826090280145503
115694,-1.7221475472759993,-2.622935220598459
115797,-1.68179270596558,-2.7862411121064534
115902,-1.6752048746889574,-2.8927441716504703
116009,-1.6745568897326628,-2.980819808150256
116110,-1.6707151263787678,-3.0925828149824803
116211,-1.65411142750902,-3.172770531756267
116312,-1.6296162831441556,-3.2096966795272412
116415,-1.6012225246023402,-3.212382218157494
116517,-1.5770173222219952,-3.1880508299665133
116618,-1.5618002662914723,-3.145025555811532
116720,-1.5596738431402746,-3.0938209029259442
116822,-1.5765432776525155,-3.044754376045618
116925,-1.6197077156387027,-3.0026118389522356
117028,-1.6945052777100729,-2.9785879058916693
117132,-1.7315807873013975,-2.974923963438672
117238,-1.818059069257015,-2.9696476917953643
117340,-1.8971571335569157,-2.9690798058742423
117446,-1.9869204192262422,-2.970083482003464
117550,-2.1213974323216864,-2.9779324477701663
117651,-2.197814912534587,-3.0070236402708326
117763,-2.312567342666407,-3.0189310019965148
117865,-2.4704872840505177,-3.0251598035551144
117971,-2.5504323643810287,-3.0243921965160263
118073,-2.6708921997807207,-3.0216517078090877
118184,-2.7896038495962934,-3.0114425249265224
118294,-2.9444416932658357,-2.9945310226875175
